IMDB_id,Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Language,Country,IMDB_rating,RT_rating,Metacritic_rating,Type
tt0147800,10 Things I Hate About You,1999,PG-13,31 Mar 1999,97 min,"Comedy, Drama, Romance",Gil Junger,"Karen McCullah, Kirsten Smith, William Shakespeare","Heath Ledger, Julia Stiles, Joseph Gordon-Levitt","English, French",United States,7.3,69%,70/100,movie
tt7019028,101 Dalmatian Street,2018–2020,TV-Y7,25 Mar 2019,22 min,"Animation, Comedy, Family",N/A,N/A,"Josh Brener, Michaela Dietz, Bert Davis",English,"United Kingdom, United States, Canada",6.3,,,series
tt0115433,101 Dalmatians,1996,G,27 Nov 1996,103 min,"Adventure, Comedy, Crime",Stephen Herek,"Dodie Smith, John Hughes","Glenn Close, Jeff Daniels, Joely Richardson","English, Spanish","United States, United Kingdom",5.7,41%,49/100,movie
tt0324941,101 Dalmatians 2: Patch's London Adventure,2002,G,21 Jan 2003,74 min,"Animation, Adventure, Comedy, Family, Musical","Jim Kammerud, Brian Smith","Jim Kammerud (story), Dan Root (story), Garrett K. Schiff (story), Brian Smith (story), Jim Kammerud (screenplay), Brian Smith (screenplay), Dodie Smith (novel), Michael Lucker, Temple Mathews (additional script material)","Barry Bostwick, Jason Alexander, Martin Short, Bobby Lockwood",English,United States,5.8,67%,,movie
tt0211181,102 Dalmatians,2000,G,22 Nov 2000,100 min,"Adventure, Comedy, Family",Kevin Lima,"Dodie Smith, Kristen Buckley, Brian Regan","Glenn Close, Gérard Depardieu, Ioan Gruffudd",English,"United States, United Kingdom, France",4.9,31%,35/100,movie
tt1846442,12 Dates of Christmas,2011,PG,11 Dec 2011,90 min,"Comedy, Fantasy, Romance",James Hayman,"Aaron Mendelsohn (teleplay by), Janet Brownell (teleplay by), Aaron Mendelsohn (story by), Blake Harris (story by)","Laura Miyata, Vijay Mehta, Amy Smart, Audrey Dwyer",English,United States,6.3,,,movie
tt12076020,A Celebration of the Music from Coco,2020,N/A,10 Apr 2020,47 min,"Music, Musical",Ron de Moraes,N/A,"Benjamin Bratt, Jaime Camil, Aran de la Peña, Felipe Fernández del Paso",English,United States,7.1,,,movie
tt0113538,A Kid in King Arthur's Court,1995,PG,11 Aug 1995,89 min,"Adventure, Comedy, Family",Michael Gottlieb,"Michael Part, Robert L. Levy","Thomas Ian Nicholas, Joss Ackland, Art Malik",English,"United States, Hungary, United Kingdom",4.7,5%,34/100,movie
tt0038674,A Knight for a Day,1946,Approved,08 Mar 1946,7 min,"Animation, Short, Comedy","Jack Hannah, Burt Gillett, Bill Roberts",Bill Peet,"Billy Bletcher, Pinto Colvig",English,United States,6.8,,,movie
tt0282123,A Ring of Endless Light,2002,TV-G,23 Aug 2002,88 min,"Drama, Family, Romance",Greg Beeman,"Madeleine L'Engle (novel), Marita Giovanni (teleplay), Bruce Graham (teleplay)","Mischa Barton, Ryan Merriman, Jared Padalecki, Scarlett Pomers",English,United States,6.0,,,movie
tt0287003,A Tale of Two Critters,1977,G,22 Jun 1977,48 min,"Adventure, Family",Jack Speirs,Jack Speirs,Mayf Nutter,English,United States,6.0,,,movie
tt1620680,A Wrinkle in Time,2018,PG,09 Mar 2018,109 min,"Adventure, Family, Fantasy",Ava DuVernay,"Jennifer Lee, Jeff Stockwell, Madeleine L'Engle","Storm Reid, Oprah Winfrey, Reese Witherspoon",English,United States,4.2,42%,53/100,movie
tt6139732,Aladdin,2019,PG,24 May 2019,128 min,"Action, Adventure, Family",Guy Ritchie,"John August, Guy Ritchie","Will Smith, Mena Massoud, Naomi Scott","English, Arabic","United Kingdom, United States, Australia",6.9,57%,53/100,movie
tt0103639,Aladdin,1992,G,25 Nov 1992,90 min,"Animation, Adventure, Comedy","Ron Clements, John Musker","Ron Clements, John Musker, Ted Elliott","Scott Weinger, Robin Williams, Linda Larkin",English,United States,8.0,95%,86/100,movie
tt0115491,Aladdin and the King of Thieves,1996,Not Rated,13 Aug 1996,81 min,"Animation, Adventure, Comedy, Family, Fantasy, Musical, Romance",Tad Stones,"Mark McCorkle (screenplay by), Bob Schooley (screenplay by)","Val Bettin, Jim Cummings, Gilbert Gottfried, Linda Larkin",English,United States,6.4,33%,,movie
tt0107952,The Return of Jafar,1994,G,20 May 1994,69 min,"Animation, Adventure, Comedy, Family, Fantasy, Musical, Romance","Toby Shelton, Tad Stones, Alan Zaslove","Duane Capizzi (story), Doug Langdale (story), Mark McCorkle (story), Bob Schooley (story), Tad Stones (story), Kevin Campbell, Mirith J. Colao, Bill Motz, Steve Roberts, Dev Ross, Bob Roth, Jan Strnad, Brian Swenlin","Jason Alexander, Jonathan Freeman, Jeff Bennett, Gilbert Gottfried",English,United States,5.9,33%,,movie
tt0043274,Alice in Wonderland,1951,G,14 Sep 1951,75 min,"Animation, Adventure, Family","Clyde Geronimi, Wilfred Jackson, Hamilton Luske","Lewis Carroll, Winston Hibler, Ted Sears","Kathryn Beaumont, Ed Wynn, Richard Haydn",English,United States,7.4,81%,68/100,movie
tt0417415,Aliens of the Deep,2005,G,25 Aug 2005,100 min,"Documentary, Family","James Cameron, Steven Quale",N/A,"James Cameron, Anatoly M. Sagalevitch, Genya Chernaiev",English,United States,6.4,84%,71/100,movie
tt0055740,Almost Angels,1962,Not Rated,20 Jul 1963,93 min,"Comedy, Family, Music",Steve Previn,"Vernon Harris, Robert A. Stemmle","Vincent Winter, Sean Scully, Peter Weck",English,United States,6.5,,,movie
tt0098740,America's Funniest Home Videos,1989–,TV-PG,26 Nov 1989,30 min,"Comedy, Family, Reality-TV",N/A,N/A,"Jess Harnell, Tom Bergeron, Bob Saget",English,United States,6.2,,,series
tt0381006,America's Heart & Soul,2004,PG,02 Jul 2004,84 min,Documentary,Louie Schwartzberg,N/A,"George Woodard, Charles Jimmie Sr., The Vasquez Brothers",English,United States,5.0,,55/100,movie
tt4622802,America's National Parks,2015–,TV-G,06 Dec 2015,N/A,Documentary,N/A,N/A,C.T. Taylor,English,United States,7.7,,,series
tt0082017,Amy,1981,G,20 Mar 1981,100 min,"Drama, Family",Vincent McEveety,Noreen Stone,"Jenny Agutter, Barry Newman, Kathleen Nolan","English, American Sign ",United States,6.6,,,movie
tt5195114,Andi Mack,2017–2019,TV-G,10 Mar 2017,25 min,"Comedy, Drama, Family",N/A,Terri Minsky,"Peyton Elizabeth Lee, Joshua Rush, Sofia Wylie",English,United States,7.2,,,series
tt0207972,Annie,1999,UNRATED,07 Nov 1999,90 min,"Family, Comedy, Musical",Rob Marshall,"Irene Mecchi (teleplay), Thomas Meehan (book), Martin Charnin (lyrics)","Kathy Bates, Victor Garber, Alan Cumming, Audra McDonald",English,United States,6.7,,,movie
tt9782756,Apollo: Missions to the Moon,2019,Not Rated,07 Jul 2019,94 min,"Documentary, History",Tom Jennings,Tom Jennings,"Walt Disney, Ward Kimball, Wernher von Braun",English,United States,7.6,,,movie
tt0327437,Around the World in 80 Days,2004,PG,16 Jun 2004,120 min,"Action, Adventure, Comedy",Frank Coraci,"Jules Verne, David N. Titcher, David Benullo","Jackie Chan, Steve Coogan, Jim Broadbent","English, Cantonese, French, German, Hindi, Turkish","United States, Germany, Ireland, United Kingdom",5.9,32%,49/100,movie
tt6467274,Atlantis Rising,2017,N/A,29 Jan 2017,93 min,"Documentary, Adventure, Mystery",Simcha Jacobovici,"Simcha Jacobovici, Georgeos Díaz-Montexano (story advisor)","James Cameron, Georgeos Díaz-Montexano, Peter Ellul Vincenti, Richard Freund",English,Canada,6.6,,,movie
tt0230011,Atlantis: The Lost Empire,2001,PG,15 Jun 2001,95 min,"Animation, Action, Adventure","Gary Trousdale, Kirk Wise","Tab Murphy, Kirk Wise, Gary Trousdale","Michael J. Fox, Jim Varney, Corey Burton","English, French, Spanish",United States,6.9,49%,52/100,movie
tt8952294,Auntie Edna,2018,TV-PG,06 Nov 2018,5 min,"Animation, Short, Action",Ted Mathot,"Brad Bird, Ted Mathot","Brad Bird, Craig T. Nelson, Eli Fucile",English,United States,7.2,,,movie
